KCNJ11	YWHAB
YWHAB	HDAC4
HDAC4	NFKB1
YWHAB	PRKCZ
PRKCZ	RELA
YWHAB	APP
APP	MAPK8
MAPK8	PAX2
YWHAB	ABL1
ABL1	CREB1
YWHAB	RFWD2
RFWD2	ETS2
YWHAB	C1QBP
C1QBP	CEBPA
ABL1	JUN
ABL1	FOS
YWHAB	YWHAZ
YWHAZ	TP53
TP53	EGR1
HDAC4	HIF1A
HDAC4	STAT1
APP	MYC
TP53	WT1
YWHAB	HSPA5
HSPA5	EP300
EP300	PAX5
YWHAB	IRS1
IRS1	BCL2
BCL2	BBC3
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
RFWD2	ETS1
APP	ELK1
PRKCZ	SP1
CA1	TFCP2
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	HDAC2
HDAC2	RELA
HDAC2	RB1
RB1	PAX2
HDAC1	CREB1
TFCP2	SUMO1
SUMO1	TP53
TP53	ETS2
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
SUMO1	PML
PML	JUN
PML	FOS
HDAC2	HIF1A
HDAC1	STAT1
HDAC2	MYC
SUMO1	UBE2I
UBE2I	WT1
SUMO1	MYB
MYB	PAX5
TFCP2	CASP8
CASP8	BCL2
BAG6	VCP
VCP	NFKB2
SUMO1	DAXX
DAXX	ETS1
UBE2I	ELK1
HDAC2	SP1
CA2	NONO
NONO	HDAC3
HDAC3	NFKB1
HDAC3	RELA
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	BRCA1
BRCA1	PAX2
NONO	PPP1CA
PPP1CA	CREB1
NONO	SPI1
SPI1	ETS2
CDKN2A	C1QBP
HDAC3	JUN
SPI1	FOS
CDKN2A	TP53
CDKN2A	EGR1
CDKN2A	HIF1A
NONO	SMARCA4
SMARCA4	STAT1
CDKN2A	MYC
NONO	U2AF2
U2AF2	WT1
SMARCA4	RB1
RB1	PAX5
SLC4A1	CLU
CLU	BCL2L1
BCL2L1	BBC3
CLU	CHUK
CHUK	NFKB2
SPI1	ETS1
CA2	HSPD1
HSPD1	APP
CDKN2A	SP1
ATP1A1	RPN1
RPN1	RPS3
RPS3	NFKB1
RPS3	RELA
ATP1A1	PHB
PHB	RB1
ATP1A1	CCT7
CCT7	KAT5
KAT5	CREB1
PHB	TP53
KAT5	CEBPA
CCT7	CEBPE
CEBPE	JUN
CEBPE	FOS
RPN1	OS9
OS9	HIF1A
CCT7	TRIM28
TRIM28	STAT1
CCT7	APP
ATP1A1	VDAC1
VDAC1	BCL2L1
ATP1A1	SLC25A3
SLC25A3	VCP
TP53	ETS1
RB1	SP1
KCNMA1	GSK3B
GSK3B	NFKB1
KCNMA1	HSPA8
HSPA8	RELA
KCNMA1	SNCA
SNCA	MAPK8
KCNMA1	AKT1
AKT1	CREB1
KCNMA1	ARF1
ARF1	SPI1
KCNMA1	YWHAZ
YWHAZ	NFATC4
NFATC4	CEBPA
GSK3B	JUN
KCNMA1	VCP
VCP	HIF1A
VCP	STAT1
GSK3B	MYC
KCNMA1	HSPA5
KCNMA1	ALB
ALB	BBC3
SNCA	ELK1
KCNMA1	HSP90AA1
HSP90AA1	SP1
SLC12A3	HSPA8
RELA	NFKB1
SLC12A3	HSP90AA1
HSP90AA1	BRCA1
HSPA8	ABL1
HSPA8	TP53
HSPA8	UBE3A
UBE3A	CEBPA
RELA	JUN
RELA	FOS
RELA	EGR1
HSP90AA1	HIF1A
HSPA8	NMI
NMI	STAT1
HSP90AA1	MYC
SLC12A3	ACTB
ACTB	EP300
SLC12A3	HSPA1A
HSPA1A	BCL2
RELA	NFKB2
HSPA8	SNCA
EP300	PFKFB2
STAT5B	SOCS4
NEUROG3	PAX6
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RBPJL	PTCRA
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK3	IL6
BRCA1	ESR1
BRCA2	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
ETS1	MMP3
ETS2	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
NFKB1	MMP3
RELA	MMP3
JUN	MMP7
ETV4	MMP9
FLI1	MMP9
PPARA	MMP9
